f,cnt,developers,prob,agg
1,104,94,0.00612160809935841,0.00612160809935841
2,212,196,0.0124786626640768,0.0186002707634352
3,524,488,0.030843486962152,0.0494437577255871
4,1158,1077,0.0681617517217023,0.117605509447289
5,2109,2008,0.124139148861028,0.241744658308317
6,3253,3063,0.19147683795397,0.433221496262287
7,3721,3478,0.219024074401083,0.65224557066337
8,3212,2974,0.189063511684031,0.841309082347401
9,1759,1647,0.103537583142033,0.944846665489434
10,747,676,0.0439696274059686,0.988816292895403
11,177,161,0.0104185060921773,0.99923479898758
12,13,13,0.000765201012419801,1
,16989,,,
