metric,Pearson_with_retention_prob
retention_prob,1.0
onboarding_prob,0.804538455502767
commits_per_developer,0.4069101191325354
capped_commits_per_involved_developer,0.35367662554422624
merged_prs_per_developer,0.14834520903521028
prev_touch_ago,0.0909269519498896
reverted_ratio,0.04818549200261832
refactor_mle,0.04250302497826247
avg_coupling_code_size_cut,0.03537553465334212
cursing_rate,0.03481224395567617
same_date_duration_avg,0.015730537080281885
bug_prev_touch_ago,0.01520859174898446
multiline_message_ratio,0.0028661024055334702
merged_issues_per_developer,-0.00422207766870129
files_created,-0.011573346783255738
files_edited,-0.011573346783255738
involved_developers_capped_commits,-0.014779769282456024
minutes_to_revert,-0.015991073764047403
involved_developers_commits,-0.016633080477106623
commits,-0.021066065722947155
corrective_multiline_message_ratio,-0.021685521340967774
non_corrective_message_length_avg,-0.0236288094289217
commits_per_day,-0.030024423252829596
involved_developers,-0.034138025907528284
message_length_avg,-0.03842473344540863
negative_sentiment_rate,-0.038935878362831584
merged_prs,-0.039731131249075326
commit_period,-0.04867029135853193
one_file_refactor_rate,-0.05161372448048261
pull_requests,-0.053251335422964834
one_file_fix_rate,-0.05734795092903293
merged_prs_per_involved_developer,-0.06036922774971468
positive_sentiment_rate,-0.06050478480847213
merged_issues_per_involved_developer,-0.0692247923953843
commit_day_density,-0.07480919818486932
commit_days,-0.09013139055091586
closed_issues,-0.10232694585204953
tests_presence,-0.11820064819144072
authors,-0.12340549982584388
ccp,-0.16140425447021134
